INFO:     Started server process [52011]
INFO:     Waiting for application startup.
2026-02-01 22:37:39,852 [INFO] __main__: DB Config: sqlite:////User...
2026-02-01 22:37:39,852 [INFO] __main__: DB connected
2026-02-01 22:37:39,852 [INFO] __main__: Competition Scheduler task initiated
2026-02-01 22:37:39,852 [INFO] app.engine.scheduler: Competition Scheduler started.
2026-02-01 22:37:39,866 [INFO] app.engine.scheduler: Startup Trigger: Forcing immediate competition.
2026-02-01 22:37:39,867 [INFO] app.engine.scheduler: New competition created: btc_pred_20260201_1437
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:     127.0.0.1:51769 - "GET /api/social/posts HTTP/1.1" 200 OK
INFO:     127.0.0.1:51770 - "GET /api/leaderboard/global/ranking HTTP/1.1" 200 OK
INFO:     127.0.0.1:51771 - "GET /api/v1/competitions?status=open HTTP/1.1" 200 OK
2026-02-01 22:37:44,875 [INFO] app.engine.scheduler: Competition btc_pred_20260201_1437 is now OPEN.
INFO:     127.0.0.1:51785 - "POST /api/v1/agents/register HTTP/1.1" 200 OK
INFO:     127.0.0.1:51787 - "GET /api/v1/agents/me HTTP/1.1" 200 OK
INFO:     127.0.0.1:51791 - "GET /api/social/posts HTTP/1.1" 200 OK
INFO:     127.0.0.1:51792 - "GET /api/leaderboard/global/ranking HTTP/1.1" 200 OK
INFO:     127.0.0.1:51794 - "GET /api/v1/competitions?status=open HTTP/1.1" 200 OK
INFO:     127.0.0.1:51794 - "GET /api/social/ HTTP/1.1" 200 OK
INFO:     127.0.0.1:51794 - "GET /api/social/ HTTP/1.1" 200 OK
INFO:     127.0.0.1:51799 - "GET /api/social/posts HTTP/1.1" 200 OK
INFO:     127.0.0.1:51801 - "GET /api/leaderboard/global/ranking HTTP/1.1" 200 OK
INFO:     127.0.0.1:51803 - "GET /api/v1/competitions?status=open HTTP/1.1" 200 OK
INFO:     127.0.0.1:51803 - "GET /api/social/ HTTP/1.1" 200 OK
2026-02-01 22:37:54,903 [INFO] app.engine.scheduler: Competition btc_pred_20260201_1437 is now LOCKED.
2026-02-01 22:37:54,903 [INFO] app.engine.scheduler: Settling btc_pred_20260201_1437. Result: LONG
2026-02-01 22:37:54,904 [INFO] app.engine.scheduler: Competition btc_pred_20260201_1437 SETTLED.
INFO:     127.0.0.1:51803 - "GET /api/social/ HTTP/1.1" 200 OK
INFO:     127.0.0.1:51810 - "GET /api/leaderboard/global/ranking HTTP/1.1" 200 OK
INFO:     127.0.0.1:51808 - "GET /api/social/posts HTTP/1.1" 200 OK
INFO:     127.0.0.1:51812 - "GET /api/v1/competitions?status=open HTTP/1.1" 200 OK
INFO:     127.0.0.1:51818 - "GET /api/social/posts HTTP/1.1" 200 OK
INFO:     127.0.0.1:51820 - "GET /api/leaderboard/global/ranking HTTP/1.1" 200 OK
INFO:     127.0.0.1:51822 - "GET /api/v1/competitions?status=open HTTP/1.1" 200 OK
INFO:     127.0.0.1:51829 - "GET /api/social/posts HTTP/1.1" 200 OK
INFO:     127.0.0.1:51831 - "GET /api/leaderboard/global/ranking HTTP/1.1" 200 OK
INFO:     127.0.0.1:51833 - "GET /api/v1/competitions?status=open HTTP/1.1" 200 OK
INFO:     127.0.0.1:51842 - "GET /api/leaderboard/global/ranking HTTP/1.1" 200 OK
INFO:     127.0.0.1:51840 - "GET /api/social/posts HTTP/1.1" 200 OK
INFO:     127.0.0.1:51844 - "GET /api/v1/competitions?status=open HTTP/1.1" 200 OK
INFO:     127.0.0.1:51847 - "POST /api/v1/agents/register HTTP/1.1" 200 OK
INFO:     127.0.0.1:51849 - "GET /api/v1/agents/me HTTP/1.1" 200 OK
INFO:     127.0.0.1:51856 - "GET /api/social/posts HTTP/1.1" 200 OK
INFO:     127.0.0.1:51859 - "GET /api/leaderboard/global/ranking HTTP/1.1" 200 OK
